fileid,age,mlu,utterance
HSLLD/HV3/MT/ethmt3.xml,67,[4.252252252252252], add a zero 
HSLLD/HV3/MT/ethmt3.xml,67,[4.252252252252252], put a zero ne t to fourteen chi 
HSLLD/HV3/MT/ethmt3.xml,67,[4.252252252252252], just add a zero 
HSLLD/HV3/MT/ethmt3.xml,67,[4.252252252252252], i know he does the concept of adding the zero um to 
HSLLD/HV3/MT/ethmt3.xml,67,[4.252252252252252], i know but then i said put the zero after the four 
HSLLD/HV5/MT/trimt5.xml,89,[8.511111111111111], less than zero 
HSLLD/HV5/MT/vicmt5.xml,90,[7.762711864406779], www they take about size zero and a half 
HSLLD/HV5/MT/vicmt5.xml,90,[7.762711864406779], i mean below zero and a half 
HSLLD/HV7/MD/anamd7.xml,[None],[0], i ll be a zero www 
HSLLD/HV7/MD/jammt7.xml,124,[7.396341463414634], it doesn t start at zero 
HSLLD/HV7/MT/rosmt7.xml,117,[5.615384615384615], zero or marco or what 
Hall/BlackPro/anc.xml,57,[5.887884267631103], it makes it that much even sweeter si seeing as to she got zero this year nothing at all 
Hall/BlackPro/jaf.xml,57,[4.363957597173145], the plane arrives at four zero one 
Hall/BlackPro/trh.xml,57,[7.090737240075614], ten nine seven si  five four three two one zero blas off 
Hall/BlackPro/trh.xml,57,[7.090737240075614], zero sisters 
Hall/WhitePro/job.xml,57,[7.728278041074249], so we re batting zero on that eh 
Hall/WhiteWork/mig.xml,57,[5.823569482288828], put the nine and then the zero 
Hall/WhiteWork/mig.xml,57,[5.823569482288828], no no the zero goes after 
Hall/WhiteWork/mig.xml,57,[5.823569482288828], is one more than zero 
Hall/WhiteWork/mig.xml,57,[5.823569482288828], okay one is more than zero so it means what 
Sawyer/2-07-92.xml,[None],[0], five four three two one zero blastoff 
Snow/800518.xml,45,[3.634831460674157], zero 
Braunwald/4-03-07.xml,51,[4.6722689075630255], seven years and zero days 
Brent/i1/i1-0930.xml,10,[0], okay it s going to zero 
Brent/i1/i1-1207.xml,12,[1.0], here s zero 
Brent/i1/i1-1207.xml,12,[1.0], put zero in his spot 
Brent/i1/i1-1207.xml,12,[1.0], at two si  zero one whitney avenue 
Brent/w1/w1-1206.xml,[None],[0], three zero nine     
Brent/w3/w3-1316.xml,14,[1.2105263157894737], zero 
Brown/Adam/adam17.xml,35,[3.941265060240964], zero 
Brown/Adam/adam19.xml,36,[4.303398058252427], five four three two one zero blast 
Brown/Adam/adam19.xml,36,[4.303398058252427], that s five four three two one zero 
Brown/Adam/adam47.xml,52,[5.945668135095448], it says si  five four two zero seven 
Brown/Adam/adam47.xml,52,[5.945668135095448], seven five four two zero seven 
Brown/Eve/eve15.xml,25,[4.913127413127413], the zero 
Brown/Sarah/sarah035.xml,35,[2.615], zero o 
Brown/Sarah/sarah055.xml,40,[3.294478527607362], um looks like an zero to me 
Brown/Sarah/sarah055.xml,40,[3.294478527607362], oh you give me the zero now 
Brown/Sarah/sarah104.xml,52,[4.288135593220339], is it an zero 
Brown/Sarah/sarah114.xml,55,[4.4124293785310735], i guess that is zero 
Brown/Sarah/sarah115.xml,55,[4.569377990430622], well now you have to go make a zero 
Brown/Sarah/sarah115.xml,55,[4.569377990430622], well no you have to go make a zero 
Brown/Sarah/sarah115.xml,55,[4.569377990430622], what do you want   or zero 
Brown/Sarah/sarah115.xml,55,[4.569377990430622], oh you re zero huh 
Brown/Sarah/sarah115.xml,55,[4.569377990430622], you re a zero 
Brown/Sarah/sarah115.xml,55,[4.569377990430622], you re supposed to put the zero here so you can win 
Brown/Sarah/sarah115.xml,55,[4.569377990430622], there see if you put the zero there you would win 
Brown/Sarah/sarah115.xml,55,[4.569377990430622], you re gonna put it in there the zero 
Brown/Sarah/sarah115.xml,55,[4.569377990430622], see you should o put that zero down there so i couldn t win 
Brown/Sarah/sarah136.xml,61,[5.21505376344086], zero or an o 
Brown/Sarah/sarah136.xml,61,[5.21505376344086], no zero or an   
Brown/Sarah/sarah136.xml,61,[5.21505376344086], oh okay i ll take zero 
Brown/Sarah/sarah137.xml,61,[4.8901098901098905], you ll have a zero 
Clark/shem10.xml,29,[4.9109947643979055], there it goes to zero 
Clark/shem11.xml,29,[6.4068627450980395], yeah this stopped all the little numbers stopped at zero 
Clark/shem14.xml,30,[6.509025270758123], yeah it goes back to zero 
Clark/shem14.xml,30,[6.509025270758123], oh there it goes it going on to zero now see 
Clark/shem16.xml,31,[6.876923076923077], you re turning it to zero 
Clark/shem19.xml,32,[8.252225519287833], zero zero zero zero zero zero zero 
Clark/shem38.xml,37,[8.495145631067961], now we re gonna do a c for cindy and z for zero 
Cornell/lsno121.xml,60,[5.175438596491228], jessica is zero 
Cornell/mom0502.xml,[None],[0], no five and a dot then you put a zero 
Cornell/mom0502.xml,[None],[0], why does it say one two zero zero 
Cornell/mom07.xml,[None],[0], it s almost below zero 
Cornell/mom07.xml,[None],[0], where s your zero 
Cornell/mom07.xml,[None],[0], why d you put a zero may i ask 
MPI-EVA-Manchester/eleanor/2-00-08v.xml,[None],[2.210526315789474], zero one two three four 
MPI-EVA-Manchester/eleanor/2-00-08v.xml,[None],[2.210526315789474], zero one two three four five si  
MPI-EVA-Manchester/eleanor/2-00-09a.xml,[None],[2.287313432835821], zero 
MPI-EVA-Manchester/eleanor/2-00-11b.xml,[None],[3.0170454545454546], zero you going to clean it 
MPI-EVA-Manchester/eleanor/2-04-01v.xml,[None],[2.15625], and then zero 
MPI-EVA-Manchester/eleanor/2-04-01v.xml,[None],[2.15625], zero 
MPI-EVA-Manchester/eleanor/2-04-01v.xml,[None],[2.15625], what comes after zero darling 
MPI-EVA-Manchester/eleanor/2-04-01v.xml,[None],[2.15625], what comes after the zero 
MPI-EVA-Manchester/eleanor/2-04-01v.xml,[None],[2.15625], is zero classed as a number there 
MPI-EVA-Manchester/eleanor/2-04-01v.xml,[None],[2.15625], the other one goes to the bottom like zero 
MPI-EVA-Manchester/eleanor/2-04-05a.xml,[None],[3.0], zero 
MPI-EVA-Manchester/eleanor/2-04-05a.xml,[None],[3.0], zero 
MPI-EVA-Manchester/eleanor/2-04-05a.xml,[None],[3.0],     zero 
MPI-EVA-Manchester/eleanor/2-04-05a.xml,[None],[3.0], zero 
MPI-EVA-Manchester/eleanor/2-05-00b.xml,[None],[3.665289256198347], and then zero 
MPI-EVA-Manchester/eleanor/2-05-00b.xml,[None],[3.665289256198347], draw on zero 
MPI-EVA-Manchester/eleanor/2-06-02v.xml,[None],[2.437246963562753], that s the number zero isn t it 
MPI-EVA-Manchester/eleanor/2-06-02v.xml,[None],[2.437246963562753], zero 
MPI-EVA-Manchester/eleanor/2-06-02v.xml,[None],[2.437246963562753], zero 
MPI-EVA-Manchester/eleanor/2-06-04a.xml,[None],[3.2955801104972378], what comes after zero 
MPI-EVA-Manchester/eleanor/2-06-04a.xml,[None],[3.2955801104972378], what comes after zero 
MPI-EVA-Manchester/eleanor/2-07-03a.xml,[None],[3.058981233243968], put zero down 
MPI-EVA-Manchester/eleanor/2-07-03a.xml,[None],[3.058981233243968], it s that s the one has to go at the bottom like the zero 
MPI-EVA-Manchester/eleanor/2-07-03a.xml,[None],[3.058981233243968], i think zero s down there 
MPI-EVA-Manchester/eleanor/2-08-11b.xml,[None],[3.5069767441860464], zero that one for polly 
MPI-EVA-Manchester/eleanor/2-11-04b.xml,[None],[3.05324459234609], zero 
MPI-EVA-Manchester/eleanor/2-11-04b.xml,[None],[3.05324459234609], it takes everything off e cept zero 
MPI-EVA-Manchester/eleanor/2-11-04b.xml,[None],[3.05324459234609], it leaves a zero there 
MPI-EVA-Manchester/eleanor/2-11-06a.xml,[None],[3.578125], one and zero makes 
MPI-EVA-Manchester/eleanor/2-11-06b.xml,[None],[4.14368932038835], zero again 
MPI-EVA-Manchester/eleanor/2-11-06b.xml,[None],[4.14368932038835], two and zero s twenty 
MPI-EVA-Manchester/eleanor/2-11-06b.xml,[None],[4.14368932038835], and then do zero afterwards 
MPI-EVA-Manchester/eleanor/2-11-06b.xml,[None],[4.14368932038835], three and zero 
MPI-EVA-Manchester/eleanor/2-11-06b.xml,[None],[4.14368932038835], do three and zero ne t 
MPI-EVA-Manchester/eleanor/2-11-06b.xml,[None],[4.14368932038835], four and zero 
MPI-EVA-Manchester/eleanor/3-00-06b.xml,[None],[2.8946188340807173], two and zero make twenty 
MPI-EVA-Manchester/eleanor/3-00-18v.xml,[None],[3.298342541436464], two zero 
MPI-EVA-Manchester/eleanor/3-00-18v.xml,[None],[3.298342541436464], two and zero make twenty 
MPI-EVA-Manchester/eleanor/3-00-18v.xml,[None],[3.298342541436464], press two and zero 
MPI-EVA-Manchester/fraser/2-00-28b.xml,[None],[2.365650969529086], zero you watering my plants 
MPI-EVA-Manchester/fraser/2-00-28v.xml,[None],[2.4694835680751175],     i zero done it 
MPI-EVA-Manchester/fraser/2-01-07a.xml,[None],[2.4428904428904428], zero love you 
MPI-EVA-Manchester/fraser/2-05-03b.xml,[None],[4.328996282527881], zero you fall on the bed 
MPI-EVA-Manchester/fraser/2-08-01b.xml,[None],[3.4385150812064964], that s a one and a zero isn t it 
MPI-EVA-Manchester/fraser/2-09-08b.xml,[None],[3.878440366972477], zero you playing peek a boo 
MPI-EVA-Manchester/fraser/2-10-05b.xml,[None],[4.1117117117117115], zero you building a tower 
MPI-EVA-Manchester/fraser/2-10-05b.xml,[None],[4.1117117117117115], zero you not gonna going to carry this 
MPI-EVA-Manchester/fraser/2-10-05b.xml,[None],[4.1117117117117115], zero you carry this for me 
MPI-EVA-Manchester/fraser/2-10-05b.xml,[None],[4.1117117117117115], zero you watching it there 
MPI-EVA-Manchester/fraser/2-11-00b.xml,[None],[3.7276190476190476], it s a one and a zero 
MPI-EVA-Manchester/fraser/3-00-25b.xml,[None],[4.1886363636363635], zero that a hill 
MPI-EVA-Manchester/fraser/3-00-25b.xml,[None],[4.1886363636363635], zero they nice biscuits 
MPI-EVA-Manchester/fraser/3-00-25b.xml,[None],[4.1886363636363635], zero they have water 
MPI-EVA-Manchester/fraser/3-01-00b.xml,[None],[3.3677298311444654], zero you know what daddy s drawing 
MPI-EVA-Manchester/fraser/3-01-00b.xml,[None],[3.3677298311444654], zero backpack purple 
Thomas/2-04-10.xml,28,[2.473404255319149], one two three four five si  seven eight nine zero 
Thomas/2-08-06.xml,32,[3.1739130434782608], there s a number five a number two and a zero on the letter thomas 
Thomas/2-09-23.xml,34,[3.3655352480417755], and all these buttons say one two three four five si  seven eight nine and zero 
Thomas/2-10-00.xml,34,[3.7995283018867925], ours is three eight nine zero 
Thomas/3-00-18.xml,37,[3.6953125], ready steady zero 
Thomas/3-01-06.xml,37,[4.0256410256410255], ready steady zero 
Thomas/3-01-14.xml,37,[4.012987012987013], one two three four five si  seven eight nine zero 
Thomas/3-01-14.xml,37,[4.012987012987013], that s zero 
Thomas/3-01-22.xml,38,[3.3849658314350797], zero 
Thomas/3-01-22.xml,38,[3.3849658314350797], who says zero 
Thomas/3-01-27.xml,38,[3.5952380952380953], one two three four zero 
Thomas/3-01-27.xml,38,[3.5952380952380953], i didn t know zero came after four 
Thomas/3-01-30.xml,38,[4.304347826086956], oh one si  one four three two three eight nine zero 
Thomas/3-02-09.xml,38,[4.219321148825065], one and a zero 
Thomas/3-02-09.xml,38,[4.219321148825065], one and a zero 
Thomas/3-08-01.xml,44,[3.7085714285714286], one and zero 
Thomas/3-11-02.xml,47,[6.257617728531856], four three two three eight nine zero 
Thomas/4-01-03.xml,49,[4.402214022140221], zero pence 
Thomas/4-04-06.xml,52,[6.111782477341389], five and zero is 
MacWhinney/65a1.xml,69,[6.735632183908046], two zero two zero 
MacWhinney/65a1.xml,69,[6.735632183908046], zero 
MacWhinney/65a1.xml,69,[6.735632183908046], two zero five one 
MacWhinney/76a1.xml,78,[7.2105263157894735], just press one button and it does all those numbers that you punch you know eight zero zero five si  three two nine four eight 
MacWhinney/76b1.xml,78,[8.909090909090908], zero 
MacWhinney/76b1.xml,78,[8.909090909090908], zero 
Manchester/nic/nic27a.xml,34,[2.556862745098039], and mummy s still on zero 
Valian/18a.xml,29,[4.727748691099476], yeah it goes one to ten and no zero to nine zero to nine 
Weist/Matt/mat23.xml,40,[3.938775510204082], five cents five o zero 
Weist/Matt/mat23.xml,40,[3.938775510204082], five o zero nine 
Weist/Matt/mat46.xml,53,[5.946666666666666], zero dollars 
Weist/Matt/mat46.xml,53,[5.946666666666666], zero dollars each ringing them up 
Weist/Matt/mat46.xml,53,[5.946666666666666], but each one only costs like zero cents right 
Weist/Matt/mat56.xml,60,[7.684210526315789], you may have one two or zero and i don t want to hear about any more it s starting to make me feel like you re not doing a good job 
Weist/Roman/rom42.xml,56,[5.9245283018867925], zero zero si  
