,0,1,2,3
18,Providence/Ethan/eth20.xml,20,[2.836244541484716], the show is at two o clock and it s twelve oh zero nine 
19,Providence/Ethan/eth25.xml,22,[3.8], and sleep in zero gravity when you re in a space ship you float in the air 
20,Providence/Ethan/eth41.xml,31,[3.8528428093645486], make none of them 
21,Providence/Ethan/eth41.xml,31,[3.8528428093645486], none of the windows was his window 
22,Providence/Ethan/eth41.xml,31,[3.8528428093645486], but none of the windows was his window 
23,Providence/Ethan/eth44.xml,32,[3.0706401766004414], there s the number eight there s the number two number two again there s a zero and there s the three 
24,Providence/Ethan/eth47.xml,34,[3.943469785575049], so he is floating up woo this is fun zero gravity is fun     
25,Providence/Ethan/eth47.xml,34,[3.943469785575049], the spaceship could float away too i guess in zero gravity 
26,Providence/Ethan/eth50.xml,35,[3.6016427104722792], none of his friends are around 
27,Providence/Lily/lil02.xml,14,[1.5076923076923077], and this little piggie had none 
28,Providence/Lily/lil04.xml,14,[1.4404761904761905], none of your 
29,Providence/Lily/lil06.xml,15,[1.9951690821256038], so i ll be upstairs and don will say what s the bread song like there is none make it up 
30,Providence/Lily/lil08.xml,16,[1.7860262008733625], this lil little piggie had roast beef this lil little piggie had none 
31,Providence/Lily/lil26.xml,24,[2.7415506958250497], zero very good honey 
32,Providence/Lily/lil27.xml,25,[3.1382978723404253], the museum director couldn t understand why none of them had caught sight of the artist 
33,Providence/Lily/lil30.xml,25,[4.441935483870968], lily have you noticed that none of these pirates have eyes 
34,Providence/Lily/lil35.xml,27,[4.360424028268551], but none of the insects they happened upon had any idea where her mother had gone 
35,Providence/Lily/lil35.xml,27,[4.360424028268551], but none of the insects they happened upon had any idea where her mother had gone 
36,Providence/Lily/lil36.xml,27,[4.625], okay it s two zero two 
37,Providence/Lily/lil37.xml,28,[5.458471760797342], zero 
38,Providence/Lily/lil40.xml,29,[5.298387096774194], none of the windows was his window though 
39,Providence/Lily/lil40.xml,29,[5.298387096774194], but none of the windows was his window 
40,Providence/Lily/lil42.xml,29,[5.092409240924092], and this little piggie had none 
41,Providence/Lily/lil47.xml,30,[4.5344827586206895], none i don t think 
42,Providence/Lily/lil49b.xml,31,[5.682568807339449], it s zero 
43,Providence/Lily/lil53.xml,32,[4.0989010989010985], but none of the insects they happened upon had any idea where her mother had gone 
44,Providence/Lily/lil57.xml,33,[3.7886904761904763], but it can be hundreds of degrees below zero during the long nights 
45,Providence/Lily/lil59.xml,34,[3.808080808080808], a trucker delivered none other than 
46,Providence/Lily/lil59.xml,34,[3.808080808080808], none of the buttons fell off 
47,Providence/Lily/lil63.xml,35,[4.349875930521092], oh none of the three of you like cauliflower huh 
48,Providence/Lily/lil66.xml,36,[4.015105740181269], none of the other men wear belts with their pants they button suspenders onto the waist lines of their pants and snap the suspenders over their shoulders 
49,Providence/Lily/lil71.xml,39,[4.6370808678500985], really none of us have any favorite foods that s so sad 
50,Providence/Lily/lil73.xml,41,[3.9522821576763487], none of us got hurt but the grasshoppers figured out what was going on 
51,Providence/Lily/lil74.xml,42,[4.022443890274314], i get it said jay jay he sees you every day he loves you a lot and without you none of the things he does would be possible 
52,Providence/Lily/lil78a.xml,46,[4.434250764525994], but we have none 
53,Providence/Lily/lil79.xml,47,[4.741935483870968], i mean none of the other kids know their states 
54,Providence/Lily/lil79.xml,47,[4.741935483870968], none at all huh 
55,Providence/Lily/lil79.xml,47,[4.741935483870968], none at all for me 
56,Providence/Naima/nai12.xml,16,[2.5553319919517103], none no raspberries 
57,Providence/Naima/nai18.xml,18,[2.9290322580645163], eeney meeney minie mo count the shoppers as they go some have baskets some have none count the shoppers one by one 
58,Providence/Naima/nai23.xml,20,[3.293296089385475], some have none 
59,Providence/Naima/nai26.xml,20,[3.3815028901734103], where is the zero is the zero lost 
60,Providence/Naima/nai26.xml,20,[3.3815028901734103], oh you have it in yer your hand a red zero 
61,Providence/Naima/nai39.xml,24,[4.101045296167247], you don t really have to borrow that i think that s a zero in front of mommy 
62,Providence/Naima/nai59b.xml,29,[5.514657980456026], like practically none 
63,Providence/Naima/nai77.xml,36,[6.898591549295775], well not zero nursing but you didn t wake up to nurse until four thirty 
64,Providence/Naima/nai79.xml,37,[4.844444444444444], zero     on the cape 
65,Providence/Naima/nai82.xml,43,[8.567901234567902], well i hope none of them got stuck in the oil spill 
66,Providence/Violet/vio18.xml,23,[2.532319391634981], none 
67,Providence/Violet/vio26.xml,27,[2.986062717770035], ten o zero nine 
68,Providence/Violet/vio26.xml,27,[2.986062717770035], ten o zero nine 
69,Providence/Violet/vio36.xml,31,[4.374647887323944], and sleep in zero gravity 
70,Providence/Violet/vio38.xml,32,[3.2103559870550162], i saw those animals none of them sheep well that seemed better than falling asleep i stretched and whispered boy this is fun 
71,Providence/Violet/vio38.xml,32,[3.2103559870550162], i saw those animals none of them sheep 
72,Providence/Violet/vio43.xml,35,[4.235772357723577], see a one and a zero makes ten 
73,Providence/Violet/vio52.xml,45,[4.944444444444445], for although spring should have arrived weeks before it hadn t none of the winter snows were gone yet 
74,Providence/William/wil05.xml,19,[1.3492537313432835], and this little piggy had none 
75,Providence/William/wil12.xml,22,[2.0822281167108754], but none of the five little ducks came back 
76,Providence/William/wil26.xml,30,[2.639784946236559], ten is a one and a zero 
77,Providence/William/wil26.xml,30,[2.639784946236559], but none of the five little ducks came back 
78,Providence/William/wil39.xml,37,[4.0130718954248366], none of that 
,0,1,2,3
0,Post/Lew/lew02.xml,24,[1.6917808219178083], three five zero 
1,Post/Lew/lew02.xml,24,[1.6917808219178083], mash the five now the zero 
2,Post/Lew/lew02.xml,24,[1.6917808219178083], you can mash all at once three five zero 
3,Post/She/she06.xml,25,[3.5483870967741935], mama sally don t give me none 
4,Post/She/she09.xml,28,[3.537091988130564], he didn t save you none 
5,Post/She/she09.xml,28,[3.537091988130564], he didn t save you none 
6,Post/Tow/tow01.xml,19,[1.871212121212121], zero 
7,Post/Tow/tow04.xml,22,[2.81021897810219], well you re leavin me with none 
8,Post/Tow/tow07.xml,26,[3.217821782178218], i don t get none 
9,Post/Tow/tow09.xml,28,[3.9318181818181817], we don t need none of them garfields 
10,Post/Tow/tow09.xml,28,[3.9318181818181817], we don t need none 
,0,1,2,3
0,Normal/dirk1.xml,26,[2.230769230769231], this little piggy had none 
1,Normal/dirk1.xml,26,[2.230769230769231], this little piggy had none 
2,Normal/lana1.xml,13,[1.8354430379746836], none is in the barn 
,0,1,2,3
0,NewEngland/14/45.xml,14,[1.0], none of these things interest you huh 
1,NewEngland/14/91.xml,14,[1.1428571428571428], you don t even want to look at none of this stuff do you 
""
,0,1,2,3
0,NH/nh18f-edith.xml,17,[1.0], and none for mommy 
1,NH/nh24m-pallas.xml,24,[3.041176470588235], uh oh now there s none left now what do we have to do 
2,NH/nh30f-tahiya.xml,29,[3.2971014492753623], uhhuh     none 
3,NH/nh36f-mabel.xml,36,[5.746606334841629], none of these are the same we ll never find a match 
""
,0,1,2,3
0,Morisset/Seattle/837m30.xml,30,[3.75], but mommy s not gonna drink none okay 
1,Morisset/Topeka/127m30t.xml,30,[2.0], momma don t want none 
2,Morisset/Topeka/127m30t.xml,30,[2.0], momma don t want none 
3,Morisset/Topeka/252m30t.xml,30,[2.375], i don t want none 
4,Morisset/Topeka/253m30t.xml,30,[3.46], you re gonna drink it all and then there wont be none left for anybody else 
5,Morisset/Topeka/265m30t.xml,30,[3.3181818181818183], no i don t want none 
6,Morisset/Topeka/265m30t.xml,30,[3.3181818181818183], he ain t gonna give you none 
7,Morisset/Topeka/273m30t.xml,30,[2.8620689655172415], um daddy don t get none 
8,Morisset/Topeka/273m30t.xml,30,[2.8620689655172415], don t want none 
9,Morisset/UCLA/309m36.xml,39,[3.625], and the poor dog had none 
10,Morisset/UCLA/311m36.xml,39,[3.7115384615384617], well when she got there the cupboard was bare and so the poor doggie had none 
11,Morisset/UCLA/312m36.xml,39,[2.142857142857143], when she got there the cupboard was bare and so the poor dog ate none 
12,Morisset/UCLA/312m36.xml,39,[2.142857142857143], and this pig had none 
13,Morisset/UCLA/320m36.xml,39,[2.6444444444444444], no there s none here 
14,Morisset/UCLA/406m36.xml,39,[3.6842105263157894], and this pig had none 
15,Morisset/UCLA/411m36.xml,39,[2.4375], none left 
""
""
,0,1,2,3
0,MacWhinney/38a2.xml,40,[6.7272727272727275], and none of the kids go to preschool on saturaday 
1,MacWhinney/46a2.xml,47,[6.196581196581197], none of the other kids get yelled at because their parents love them 
2,MacWhinney/61a2.xml,66,[8.76271186440678], i got none 
3,MacWhinney/64a2.xml,69,[11.727272727272727], that one s farther down no no they re not none of are okay okay 
4,MacWhinney/64a2.xml,69,[11.727272727272727], there s none bad guys in in jock and there s none spears in jock 
5,MacWhinney/65a1.xml,69,[6.735632183908046], two zero two zero 
6,MacWhinney/65a1.xml,69,[6.735632183908046], zero 
7,MacWhinney/65a1.xml,69,[6.735632183908046], two zero five one 
8,MacWhinney/65a1.xml,69,[6.735632183908046], all the he man toys can fit in the drawer but all the little toys can fit in the drawer but none he man toys can 
9,MacWhinney/65a1.xml,69,[6.735632183908046], there were none bad boys 
10,MacWhinney/66b2.xml,70,[9.027777777777779], now i want none little boy 
11,MacWhinney/67a1.xml,71,[10.333333333333334], now there is none and now there is um more and 
12,MacWhinney/67b2.xml,71,[12.666666666666666], none pretty 
13,MacWhinney/67b2.xml,71,[12.666666666666666], none pretty 
14,MacWhinney/69a2.xml,72,[11.304347826086957], none is 
15,MacWhinney/69a2.xml,72,[11.304347826086957], none is being bad 
16,MacWhinney/69a2.xml,72,[11.304347826086957], none is being bad at the table you mean 
17,MacWhinney/72e.xml,75,[2.0], none of them are pointing down 
18,MacWhinney/76a1.xml,78,[7.2105263157894735], just press one button and it does all those numbers that you punch you know eight zero zero five si  three two nine four eight 
19,MacWhinney/76b1.xml,78,[8.909090909090908], zero 
20,MacWhinney/76b1.xml,78,[8.909090909090908], zero 
21,MacWhinney/78a1.xml,79,[6.738095238095238], none of them none of them 
22,MacWhinney/78a1.xml,79,[6.738095238095238], none of them huh 
23,MacWhinney/80b1.xml,81,[5.489510489510489], none 
24,MacWhinney/83a2.xml,84,[7.670212765957447], i saw none of that in th 
""
,0,1,2,3
0,Kuczaj/abe067.xml,37,[7.983050847457627], none 
1,Kuczaj/abe102.xml,42,[6.391608391608392], so we can t get there too early or none of the stuff will be there 
2,Kuczaj/abe130.xml,45,[7.443298969072165], none will be on tomorrow 
3,Kuczaj/abe169.xml,51,[8.426229508196721], none of 
""
""
""
,0,1,2,3
0,Hall/BlackPro/anc.xml,57,[5.887884267631103], it makes it that much even sweeter si seeing as to she got zero this year nothing at all 
1,Hall/BlackPro/anc.xml,57,[5.887884267631103], none in there 
2,Hall/BlackPro/brd.xml,57,[6.5], when i looked there was none available 
3,Hall/BlackPro/brd.xml,57,[6.5], how come he didn t wanta to get trapped around none of us 
4,Hall/BlackPro/chj.xml,57,[5.60754189944134], none of that here 
5,Hall/BlackPro/jaf.xml,57,[4.363957597173145], the plane arrives at four zero one 
6,Hall/BlackPro/kif.xml,57,[6.159958180867747], an she s gonna die so that she can t see none of her friends at school 
7,Hall/BlackPro/mim.xml,57,[6.424004825090471], i didn t get none 
8,Hall/BlackPro/mim.xml,57,[6.424004825090471], there is none 
9,Hall/BlackPro/mim.xml,57,[6.424004825090471], i got a lot of gifts but none to show 
10,Hall/BlackPro/ref.xml,57,[5.158293838862559], i don t have none 
11,Hall/BlackPro/ref.xml,57,[5.158293838862559], i don t have none 
12,Hall/BlackPro/ref.xml,57,[5.158293838862559], now i don t do not have none 
13,Hall/BlackPro/trh.xml,57,[7.090737240075614], yes i only brought none from you mark 
14,Hall/BlackPro/trh.xml,57,[7.090737240075614], ten nine seven si  five four three two one zero blas off 
15,Hall/BlackPro/trh.xml,57,[7.090737240075614], none 
16,Hall/BlackPro/trh.xml,57,[7.090737240075614], zero sisters 
17,Hall/BlackWork/deg.xml,57,[4.6949891067538125], don t give her none here     
18,Hall/BlackWork/deg.xml,57,[4.6949891067538125], don t gid give her none don t give her 
19,Hall/BlackWork/deg.xml,57,[4.6949891067538125], keisha ain t givin you none 
20,Hall/BlackWork/deg.xml,57,[4.6949891067538125], ain t no more i didn t get none 
21,Hall/BlackWork/deg.xml,57,[4.6949891067538125], i don t want none 
22,Hall/BlackWork/deg.xml,57,[4.6949891067538125], none of your business 
23,Hall/BlackWork/deg.xml,57,[4.6949891067538125], that ain t none of your business 
24,Hall/BlackWork/deg.xml,57,[4.6949891067538125], none of what 
25,Hall/BlackWork/kmf.xml,57,[5.909001956947162], o told jt none of his business 
26,Hall/BlackWork/mis.xml,57,[6.003095975232198], no me an derrick don t have none 
27,Hall/BlackWork/mis.xml,57,[6.003095975232198], none ya your business 
28,Hall/BlackWork/pag.xml,57,[5.520948616600791], girls don t wear no no none a these for he 
29,Hall/BlackWork/pag.xml,57,[5.520948616600791], i didn t get none 
30,Hall/BlackWork/pag.xml,57,[5.520948616600791], nuhn none uh of yor your bidness business 
31,Hall/BlackWork/pag.xml,57,[5.520948616600791], don t want none 
32,Hall/BlackWork/rog.xml,57,[6.016994633273703], none ya your business 
33,Hall/BlackWork/roj.xml,57,[6.632876712328767], if i did that ain t none a of your business 
34,Hall/BlackWork/roj.xml,57,[6.632876712328767], fair game but he won t gimme give me none for his foolin here 
35,Hall/BlackWork/trc.xml,57,[5.373134328358209], don t give hah her none 
36,Hall/BlackWork/trc.xml,57,[5.373134328358209], she don t or won t     need or eat     none 
37,Hall/BlackWork/trc.xml,57,[5.373134328358209], y won gi give y won gimme give me none 
38,Hall/BlackWork/trc.xml,57,[5.373134328358209], you don t need none 
39,Hall/BlackWork/trc.xml,57,[5.373134328358209], i ain t showin you none a of mine 
40,Hall/BlackWork/trc.xml,57,[5.373134328358209], ain t gettin none 
41,Hall/BlackWork/trc.xml,57,[5.373134328358209], don t give her none 
42,Hall/BlackWork/trc.xml,57,[5.373134328358209], don t give her none trina 
43,Hall/BlackWork/trc.xml,57,[5.373134328358209], i mean tisha don t give her none 
44,Hall/WhitePro/gas.xml,57,[5.585278986941037], one none 
45,Hall/WhitePro/gas.xml,57,[5.585278986941037], you re one none 
46,Hall/WhitePro/job.xml,57,[7.728278041074249], so we re batting zero on that eh 
47,Hall/WhitePro/jub.xml,57,[7.3000723065798985], there is none left 
48,Hall/WhitePro/jub.xml,57,[7.3000723065798985], i got none of these 
49,Hall/WhitePro/maa.xml,57,[5.452691218130312], none of the bowls are put     
50,Hall/WhitePro/rob.xml,57,[6.909367088607595], you may have all you baby teeth fall out and you ll have none of them hurt you 
51,Hall/WhitePro/toh.xml,57,[5.2798861480075905], none of your comments lance 
52,Hall/WhitePro/zoe.xml,57,[6.3809897879025925], i want this clay and don t none of this     
53,Hall/WhitePro/zoe.xml,57,[6.3809897879025925], am i a special candies and you don t got none 
54,Hall/WhitePro/zoe.xml,57,[6.3809897879025925], none of your business 
55,Hall/WhiteWork/boo.xml,57,[5.4652155356380705], and i got none     ah 
56,Hall/WhiteWork/boo.xml,57,[5.4652155356380705], come on i didn t get none before 
57,Hall/WhiteWork/boo.xml,57,[5.4652155356380705], can t drink none of them 
58,Hall/WhiteWork/dal.xml,57,[5.130696474634566], no hitting absolutely none 
59,Hall/WhiteWork/dal.xml,57,[5.130696474634566], it s none of your business 
60,Hall/WhiteWork/kag.xml,57,[5.027917364600782], si  seven eight none 
61,Hall/WhiteWork/kao.xml,57,[6.203125], there there are no there are very few ah none at all i think children in it 
62,Hall/WhiteWork/kao.xml,57,[6.203125], none of your business 
